Module,GeneSymbol,EnsemblID,kME,Full_Name,Aliases,EntrezID,BRCA_Mutation_pct,BRCA_CNA_pct,BRCA_Altered_pct,Functional_Summary
purple,FBXL6,ENSG00000182325.11,0.8688,F-box and leucine rich repeat protein 6,FBL6; FBL6A; PP14630,26233,0.3,10.8,11.0,"This gene encodes a member of a family of proteins that are characterized by an F-box motif. The encoded protein also contains leucine-rich repeats. F-box-containing proteins comprise one of the subunits of the SCF (SKP1-cullin-F-box) complex, which functions in phosphorylation-dependent ubiquitination. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]."
purple,SLC52A2,ENSG00000185803.12,0.8682,solute carrier family 52 member 2,BVVLS2; D15Ertd747e; GPCR41; GPR172A; HuPAR-1; PAR1; RFT3; RFVT2; hRFT3,79581,0.3,10.8,11.0,"This gene encodes a membrane protein which belongs to the riboflavin transporter family. In humans, riboflavin must be obtained by intestinal absorption because it cannot be synthesized by the body. The water-soluble vitamin riboflavin is processed to the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD) which then act as intermediaries in many cellular metabolic reactions. Paralogous members of the riboflavin transporter gene family are located on chromosomes 17 and 20. Unlike other members of this family, this gene has higher expression in brain tissue than small intestine. Alternative splicing of this gene results in multiple transcript variants encoding the same protein. Mutations in this gene have been associated with Brown-Vialetto-Van Laere syndrome 2 - an autosomal recessive progressive neurologic disorder characterized by deafness, bulbar dysfunction, and axial and limb hypotonia. [provided by RefSeq, Jul 2012]."
purple,BOP1,ENSG00000261236.8,0.8621,BOP1 ribosomal biogenesis factor,,23246,0.0,10.8,10.7,"Enables RNA binding activity. Involved in regulation of cell cycle; regulation of signal transduction by p53 class mediator; and ribosomal large subunit biogenesis. Located in chromosome; nucleolus; and nucleoplasm. Part of PeBoW complex. [provided by Alliance of Genome Resources, Apr 2022]"
purple,VPS28,ENSG00000160948.14,0.8535,VPS28 subunit of ESCRT-I,CIIA,51160,0.1,10.8,10.8,"This gene encodes a protein subunit of the ESCRT-I complex (endosomal complexes required for transport), which functions in the transport and sorting of proteins into subcellular vesicles. This complex can also be hijacked to facilitate the budding of enveloped viruses from the cell membrane. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013]."
purple,SCRIB,ENSG00000180900.20,0.8479,scribble planar cell polarity protein,CRIB1; SCRB1; SCRIB1; Vartul; oSCRIB,23513,0.8,10.6,11.0,"This gene encodes a protein that was identified as being similar to the Drosophila scribble protein. The mammalian protein is involved in tumor suppression pathways. As a scaffold protein involved in cell polarization processes, this protein binds to many other proteins. The encoded protein binds to papillomavirus E6 protein via its PDZ domain and the C-terminus of E6. Two alternatively spliced transcript variants that encode different protein isoforms have been found for this gene. [provided by RefSeq, Nov 2011]."
purple,C8orf82,ENSG00000213563.7,0.8365,chromosome 8 open reading frame 82,,414919,0.0,10.8,10.7,No summary available.
purple,TIGD5,ENSG00000179886.6,0.8323,tigger transposable element derived 5,,84948,0.0,10.7,10.5,"The protein encoded by this gene belongs to the tigger subfamily of the pogo superfamily of DNA-mediated transposons in humans. These proteins are related to DNA transposons found in fungi and nematodes, and more distantly to the Tc1 and mariner transposases. They are also very similar to the major mammalian centromere protein B. The exact function of this gene is not known. [provided by RefSeq, Jul 2008]."
purple,ADCK5,ENSG00000173137.12,0.8293,aarF domain containing kinase 5,,203054,0.3,10.8,11.0,"Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in protein phosphorylation. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
purple,GPAA1,ENSG00000197858.11,0.8212,glycosylphosphatidylinositol anchor attachment 1,GAA1; GPIBD15; hGAA1,8733,0.3,10.8,11.0,"Posttranslational glycosylphosphatidylinositol (GPI) anchor attachment serves as a general mechanism for linking proteins to the cell surface membrane. The protein encoded by this gene presumably functions in GPI anchoring at the GPI transfer step. The mRNA transcript is ubiquitously expressed in both fetal and adult tissues. The anchor attachment protein 1 contains an N-terminal signal sequence, 1 cAMP- and cGMP-dependent protein kinase phosphorylation site, 1 leucine zipper pattern, 2 potential N-glycosylation sites, and 8 putative transmembrane domains. [provided by RefSeq, Jul 2008]."
purple,RECQL4,ENSG00000160957.14,0.8171,RecQ like helicase 4,RECQ4,9401,0.6,10.8,11.2,"The protein encoded by this gene is a DNA helicase that belongs to the RecQ helicase family. DNA helicases unwind double-stranded DNA into single-stranded DNAs and may modulate chromosome segregation. This gene is predominantly expressed in thymus and testis. Mutations in this gene are associated with Rothmund-Thomson, RAPADILINO and Baller-Gerold syndromes. [provided by RefSeq, Jan 2010]."
green,NAA10,ENSG00000102030.16,0.8582,"N-alpha-acetyltransferase 10, NatA catalytic subunit",ARD1; ARD1A; ARD1P; DXS707; LZMS; MAA; MCOPS1; NATD; OGDNS; TE2; hARD1,8260,0.3,1.6,1.8,"N-alpha-acetylation is among the most common post-translational protein modifications in eukaryotic cells. This process involves the transfer of an acetyl group from acetyl-coenzyme A to the alpha-amino group on a nascent polypeptide and is essential for normal cell function. This gene encodes an N-terminal acetyltransferase that functions as the catalytic subunit of the major amino-terminal acetyltransferase A complex. Mutations in this gene are the cause of Ogden syndrome. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jan 2012]."
green,GADD45GIP1,ENSG00000179271.3,0.857,GADD45G interacting protein 1,CKBBP2; CKbetaBP2; CRIF1; MRP-L59; PLINP; PLINP-1; PRG6; Plinp1; mL64,90480,0.0,1.3,1.3,"This gene encodes a nuclear-localized protein that may be induced by p53 and regulates the cell cycle by inhibiting G1 to S phase progression. The encoded protein may interact with other cell cycle regulators. [provided by RefSeq, Aug 2012]."
green,AURKAIP1,ENSG00000175756.13,0.8368,aurora kinase A interacting protein 1,AIP; AKIP; Cox24; MRP-S38; mS38,54998,0.2,1.2,1.4,"Acts upstream of or within positive regulation of proteolysis. Located in mitochondrion and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
green,NDUFB7,ENSG00000099795.7,0.8354,NADH:ubiquinone oxidoreductase subunit B7,B18; CI-B18; MC1DN39,4713,0.0,1.1,1.1,"The protein encoded by this gene is a subunit of the multisubunit NADH:ubiquinone oxidoreductase (complex I). Mammalian complex I is composed of 45 different subunits. It is located at the mitochondrial inner membrane. This protein has NADH dehydrogenase activity and oxidoreductase activity. It transfers electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. [provided by RefSeq, Jul 2008]."
green,SNRPA,ENSG00000077312.9,0.8353,small nuclear ribonucleoprotein polypeptide A,Mud1; U1-A; U1A,6626,0.2,1.2,1.4,"The protein encoded by this gene associates with stem loop II of the U1 small nuclear ribonucleoprotein, which binds the 5' splice site of precursor mRNAs and is required for splicing. The encoded protein autoregulates itself by polyadenylation inhibition of its own pre-mRNA via dimerization and has been implicated in the coupling of splicing and polyadenylation. [provided by RefSeq, Oct 2010]."
green,LSM7,ENSG00000130332.15,0.8322,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated",LDCA; YNL147W,51690,0.0,0.8,0.8,"Sm-like proteins were identified in a variety of organisms based on sequence homology with the Sm protein family (see SNRPD2; MIM 601061). Sm-like proteins contain the Sm sequence motif, which consists of 2 regions separated by a linker of variable length that folds as a loop. The Sm-like proteins are thought to form a stable heteromer present in tri-snRNP particles, which are important for pre-mRNA splicing.[supplied by OMIM, Apr 2004]."
green,CCDC124,ENSG00000007080.11,0.8317,coiled-coil domain containing 124,Lso2; oxs1,115098,0.1,1.1,1.2,"Enables RNA binding activity. Predicted to be involved in cell division. Located in cytosol and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
green,COPE,ENSG00000105669.14,0.8266,coat protein complex I subunit epsilon,epsilon-COP,11316,0.3,1.3,1.6,"The product of this gene is an epsilon subunit of coatomer protein complex. Coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles. It is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. Coatomer complex consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]."
green,BABAM1,ENSG00000105393.16,0.8203,BRISC and BRCA1 A complex member 1,C19orf62; HSPC142; MERIT40; NBA1,29086,0.1,1.5,1.6,"Involved in several processes, including mitotic G2 DNA damage checkpoint signaling; positive regulation of DNA repair; and protein K63-linked deubiquitination. Located in cytosol and nuclear body. Part of BRCA1-A complex and BRISC complex. [provided by Alliance of Genome Resources, Apr 2022]"
green,NDUFB11,ENSG00000147123.11,0.8157,NADH:ubiquinone oxidoreductase subunit B11,CI-ESSS; ESSS; MC1DN30; NP17.3; Np15; P17.3,54539,0.0,1.3,1.3,"The protein encoded by this gene is a subunit of the multisubunit NADH:ubiquinone oxidoreductase (complex I). Mammalian complex I is located at the mitochondrial inner membrane. This protein has NADH dehydrogenase activity and oxidoreductase activity. It transfers electrons from NADH to ubiquinone. Mutations in the human gene are associated with linear skin defects with multiple congenital anomalies 3 and mitochondrial complex I deficiency. [provided by RefSeq, Dec 2016]."
green,POLR2J,ENSG00000005075.15,0.8103,RNA polymerase II subunit J,POLR2J1; RPB11; RPB11A; RPB11m; hRPB14,5439,0.2,0.5,0.6,"This gene encodes a subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes. The product of this gene exists as a heterodimer with another polymerase subunit; together they form a core subassembly unit of the polymerase. Two similar genes are located nearby on chromosome 7q22.1 and a pseudogene is found on chromosome 7p13. [provided by RefSeq, Jul 2008]."
green,NDUFS6,ENSG00000145494.12,0.8088,NADH:ubiquinone oxidoreductase subunit S6,CI-13kA; CI-13kD-A; CI13KDA; MC1DN9,4726,0.1,2.2,2.3,"This gene encodes a subunit of the NADH:ubiquinone oxidoreductase (complex I), which is the first enzyme complex in the electron transport chain of mitochondria. This complex functions in the transfer of electrons from NADH to the respiratory chain. The subunit encoded by this gene is one of seven subunits in the iron-sulfur protein fraction. Mutations in this gene cause mitochondrial complex I deficiency, a disease that causes a wide variety of clinical disorders, including neonatal disease and adult-onset neurodegenerative disorders.[provided by RefSeq, Oct 2009]."
green,LSM4,ENSG00000130520.11,0.8086,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated",GRP; YER112W,25804,0.2,1.4,1.6,"This gene encodes a member of the LSm family of RNA-binding proteins. LSm proteins form stable heteromers that bind specifically to the 3'-terminal oligo(U) tract of U6 snRNA and may play a role in pre-mRNA splicing by mediating U4/U6 snRNP formation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Nov 2011]."
green,POP7,ENSG00000172336.5,0.807,POP7 ribonuclease P/MRP subunit,0610037N12Rik; RPP2; RPP20,10248,0.0,0.9,0.9,"Enables ribonuclease P RNA binding activity. Contributes to ribonuclease P activity. Involved in tRNA 5'-leader removal. Located in nucleolus. Part of multimeric ribonuclease P complex and ribonuclease MRP complex. [provided by Alliance of Genome Resources, Apr 2022]"
green,SURF2,ENSG00000148291.10,0.8065,surfeit 2,SURF-2,6835,0.2,0.8,1.0,"This gene shares a bidirectional promoter with surfeit 1 (SURF1; GeneID: 6834), which is located on the opposite strand. It encodes a conserved protein that is expressed in a variety of tissues. [provided by RefSeq, Jul 2013]."
green,PRPF31,ENSG00000105618.14,0.8059,pre-mRNA processing factor 31,NY-BR-99; PRP31; RP11; SNRNP61,26121,0.3,1.7,1.8,"This gene encodes a component of the spliceosome complex and is one of several retinitis pigmentosa-causing genes. When the gene product is added to the spliceosome complex, activation occurs.[provided by RefSeq, Jan 2009]."
green,ATP5F1D,ENSG00000099624.8,0.8048,ATP synthase F1 subunit delta,ATP5D; MC5DN5,513,0.0,1.0,1.0,"This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. The catalytic portion of mitochondrial ATP synthase consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled with a stoichiometry of 3 alpha, 3 beta, and a single representative of the other 3. The proton channel consists of three main subunits (a, b, c). This gene encodes the delta subunit of the catalytic core. Alternatively spliced transcript variants encoding the same isoform have been identified. [provided by RefSeq, Jul 2008]."
green,CDC34,ENSG00000099804.9,0.8041,"cell division cycle 34, ubiquitin conjugating enzyme",E2-CDC34; UBC3; UBCH3; UBE2R1,997,0.3,1.2,1.5,"The protein encoded by this gene is a member of the ubiquitin-conjugating enzyme family. Ubiquitin-conjugating enzyme catalyzes the covalent attachment of ubiquitin to other proteins. This protein is a part of the large multiprotein complex, which is required for ubiquitin-mediated degradation of cell cycle G1 regulators, and for the initiation of DNA replication. [provided by RefSeq, Jul 2008]."
green,RPS19BP1,ENSG00000187051.9,0.8031,ribosomal protein S19 binding protein 1,AROS; S19BP,91582,0.0,0.4,0.4,"Enables enzyme binding activity. Located in cytosol; nucleolus; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
green,ENSG00000148362.11,ENSG00000148362.11,0.8013,,,,,,,No summary available.
pink,MCRIP2,ENSG00000172366.20,0.8929,MAPK regulated corepressor interacting protein 2,C16orf14; FAM195A; c349E10.1,84331,0.1,3.9,4.0,"Located in cytoplasmic stress granule and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
pink,NME3,ENSG00000103024.7,0.8906,NME/NM23 nucleoside diphosphate kinase 3,DR-nm23; NDK3; NDPK-C; NDPKC; NM23-H3; NM23H3; c371H6.2,4832,0.0,4.2,4.2,"Predicted to enable nucleoside diphosphate kinase activity. Predicted to be involved in apoptotic process and nucleotide metabolic process. Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
pink,NUBP2,ENSG00000095906.17,0.8786,"NUBP iron-sulfur cluster assembly factor 2, cytosolic",CFD1; CIAO6; NBP 2,10101,0.0,4.2,4.2,"This gene encodes an adenosine triphosphate (ATP) and metal-binding protein that is required for the assembly of cyotosolic iron-sulfur proteins. The encoded protein functions in a heterotetramer with nucleotide-binding protein 1 (NUBP1). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2013]."
pink,ZNF688,ENSG00000229809.8,0.8766,zinc finger protein 688,,146542,0.3,4.0,4.2,"Predicted to enable DNA-binding transcription repressor activity, RNA polymerase II-specific and RNA polymerase II transcription regulatory region sequence-specific DNA binding activity. Predicted to be involved in negative regulation of transcription by RNA polymerase II. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
pink,ANTKMT,ENSG00000103254.10,0.8719,adenine nucleotide translocase lysine methyltransferase,ANT-KMT; C16orf24; FAM173A,65990,0.0,3.9,3.9,"Enables protein-lysine N-methyltransferase activity. Involved in peptidyl-lysine trimethylation. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]"
pink,CIAO3,ENSG00000103245.14,0.8673,cytosolic iron-sulfur assembly component 3,HPRN; IOP1; LET1L; NAR1; NARFL; PRN,64428,0.1,4.0,4.1,"Predicted to enable 4 iron, 4 sulfur cluster binding activity. Involved in several processes, including iron-sulfur cluster assembly; oxygen homeostasis; and response to hypoxia. Part of CIA complex. [provided by Alliance of Genome Resources, Apr 2022]"
pink,PIGQ,ENSG00000007541.17,0.8586,phosphatidylinositol glycan anchor biosynthesis class Q,DEE77; EIEE77; GPI1; GPIBD19; MCAHS4; c407A10.1,9091,0.6,3.9,4.4,"This gene is involved in the first step in glycosylphosphatidylinositol (GPI)-anchor biosynthesis. The GPI-anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. This gene encodes a N-acetylglucosaminyl transferase component that is part of the complex that catalyzes transfer of N-acetylglucosamine (GlcNAc) from UDP-GlcNAc to phosphatidylinositol (PI). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2012]."
pink,FLYWCH2,ENSG00000162076.13,0.8575,FLYWCH family member 2,,114984,0.0,3.8,3.8,"Enables RNA binding activity. [provided by Alliance of Genome Resources, Apr 2022]"
pink,ECI1,ENSG00000167969.13,0.8499,enoyl-CoA delta isomerase 1,DCI,1632,0.3,4.2,4.4,"This gene encodes a member of the hydratase/isomerase superfamily. The protein encoded is a key mitochondrial enzyme involved in beta-oxidation of unsaturated fatty acids. It catalyzes the transformation of 3-cis and 3-trans-enoyl-CoA esters arising during the stepwise degradation of cis-, mono-, and polyunsaturated fatty acids to the 2-trans-enoyl-CoA intermediates. Alternatively spliced transcript variants have been described. [provided by RefSeq, May 2010]."
pink,ROGDI,ENSG00000067836.13,0.8489,rogdi atypical leucine zipper,KTZS; RAV2; ROGD1,79641,0.1,4.0,4.1,"This gene encodes a protein of unknown function. Loss-of-function mutation in this gene cause Kohlschutter-Tonz syndrome. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2012]"
pink,MRPS34,ENSG00000074071.15,0.8476,mitochondrial ribosomal protein S34,COXPD32; MRP-S12; MRP-S34; mS34,65993,0.1,4.2,4.2,"Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]."
pink,RHOT2,ENSG00000140983.14,0.8446,ras homolog family member T2,ARHT2; C16orf39; MIRO-2; MIRO2; RASL,89941,0.1,3.9,4.0,"This gene encodes a member of the Rho family of GTPases. The encoded protein is localized to the outer mitochondrial membrane and plays a role in mitochondrial trafficking and fusion-fission dynamics. [provided by RefSeq, Nov 2011]."
pink,ZNF205,ENSG00000122386.11,0.8412,zinc finger protein 205,RhitH; ZNF210; Zfp13,7755,0.1,3.9,4.0,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in negative regulation of transcription by RNA polymerase II; positive regulation of hydrogen peroxide biosynthetic process; and positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway. Predicted to be located in mitochondrion and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
pink,LOC122513141,ENSG00000284976.1,0.8409,ring finger protein-like,,122513141,0.0,0.0,0.0,No summary available.
pink,RABEP2,ENSG00000177548.13,0.8392,"rabaptin, RAB GTPase binding effector protein 2",FRA,79874,0.8,3.6,4.2,"Predicted to enable GTPase activator activity and growth factor activity. Involved in regulation of cilium assembly. Located in cytosol; intracellular membrane-bounded organelle; and microtubule organizing center. [provided by Alliance of Genome Resources, Apr 2022]"
pink,WDR24,ENSG00000127580.17,0.8386,WD repeat domain 24,C16orf21; JFP7,84219,0.3,3.9,4.2,"Involved in cellular response to amino acid starvation; positive regulation of TOR signaling; and regulation of autophagy. Located in cytosol and lysosomal membrane. Part of GATOR2 complex. [provided by Alliance of Genome Resources, Apr 2022]"
pink,E4F1,ENSG00000167967.16,0.8345,E4F transcription factor 1,E4F,1877,0.5,4.2,4.6,"The zinc finger protein encoded by this gene is one of several cellular transcription factors whose DNA-binding activities are regulated through the action of adenovirus E1A. A 50-kDa amino-terminal product is generated from the full-length protein through proteolytic cleavage. The protein is differentially regulated by E1A-induced phosphorylation. The full-length gene product represses transcription from the E4 promoter in the absence of E1A, while the 50-kDa form acts as a transcriptional activator in its presence. Alternative splicing results in multiple transcripts encoding different proteins. [provided by RefSeq, Jan 2014]."
pink,GFER,ENSG00000127554.13,0.8258,"growth factor, augmenter of liver regeneration",ALR; ERV1; HERV1; HPO; HPO1; HPO2; HSS; MMCHD; MPMCD,2671,0.0,4.2,4.2,"The hepatotrophic factor designated augmenter of liver regeneration (ALR) is thought to be one of the factors responsible for the extraordinary regenerative capacity of mammalian liver. It has also been called hepatic regenerative stimulation substance (HSS). The gene resides on chromosome 16 in the interval containing the locus for polycystic kidney disease (PKD1). The putative gene product is 42% similar to the scERV1 protein of yeast. The yeast scERV1 gene had been found to be essential for oxidative phosphorylation, the maintenance of mitochondrial genomes, and the cell division cycle. The human gene is both the structural and functional homolog of the yeast scERV1 gene. [provided by RefSeq, Jul 2008]."
pink,NDUFB10,ENSG00000140990.15,0.8155,NADH:ubiquinone oxidoreductase subunit B10,MC1DN35; PDSW,4716,0.2,4.2,4.3,"Involved in mitochondrial respiratory chain complex I assembly. Located in mitochondrial inner membrane. Part of mitochondrial respiratory chain complex I. Implicated in nuclear type mitochondrial complex I deficiency 35. [provided by Alliance of Genome Resources, Apr 2022]"
pink,MPG,ENSG00000103152.12,0.8147,N-methylpurine DNA glycosylase,AAG; ADPG; APNG; CRA36.1; MDG; PIG11; PIG16; anpg,4350,0.5,3.9,4.3,"Predicted to enable alkylbase DNA N-glycosylase activity. Predicted to be involved in base-excision repair. Located in cytosol and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
greenyellow,H4C4,ENSG00000277157.2,0.8622,H4 clustered histone 4,H4/b; H4FB; HIST1H4D; dJ221C16.9,8360,0.5,1.1,1.6,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H4 family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the large histone gene cluster on chromosome 6. [provided by RefSeq, Aug 2015]."
greenyellow,H2BC17,ENSG00000274641.2,0.8442,H2B clustered histone 17,H2B.2; H2B/n; H2BFN; HIST1H2BO; dJ193B12.2,8348,0.0,1.0,1.0,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H2B family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the small histone gene cluster on chromosome 6p22-p21.3. [provided by RefSeq, Aug 2015]."
greenyellow,H2BC7,ENSG00000277224.2,0.8349,H2B clustered histone 7,H2B/g; H2BFG; HIST1H2BF,8343,0.0,1.1,1.1,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H2B family. The protein has antibacterial and antifungal antimicrobial activity. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the large histone gene cluster on chromosome 6. [provided by RefSeq, Aug 2015]."
greenyellow,H4C5,ENSG00000276966.2,0.8275,H4 clustered histone 5,H4/j; H4FJ; HIST1H4E; TEBIVANED3; TEVANED3,8367,0.2,1.1,1.3,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H4 family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the large histone gene cluster on chromosome 6. [provided by RefSeq, Aug 2015]."
